0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
32,0,0,0,0,N/A,32,0.0,0,0,0,N/A,,,,
31,0,0,0,0,N /A,31,0.0,0,0,0,N /A,,,,
30,0,0,0,0,,N/A,,30,0,0,0,0.0,,N/A,
29,2,0,0,0,,N/A,,29,0,0,0,0.0,,N/A,
28,4,0,0,0,,N/A,,28,0,0,0,0.0,,N/A,
27,6,0,0,0,,N/A,,27,0,0,0,0.0,,N/A,
26,7,0,0,0,N /A,26,0.0,0,0,0,N /A,,,,
25,13,0,0,0,N /A,25,0.0,0,0,0,N /A,,,,
24,23,0,0,0,N /A,24,0.0,0,0,0,N /A,,,,
23,22,0,0,0,N /A,23,0.0,0,0,0,N /A,,,,
22,39,0,0,0,N /A,22,0.0,0,0,0,N /A,,,,
21,32,0,0,0,N /A,21,0.0,0,0,0,N /A,,,,
20,43,0,0,0,N /A,20,0.0,0,0,0,N /A,,,,
19,52,0,0,0,N /A,19,0.0,0,0,0,N /A,,,,
18,39,0,0,0,N /A,18,0.0,0,0,0,N /A,,,,
17,62,0,0,0,N /A,17,0.0,0,0,0,N /A,,,,
16,65,0,0,0,N/A,16,0.0,0,0,0,N/A,,,,
15,70,0,0,0,N /A,15,0.0,0,0,0,N /A,,,,
14,70,0,0,0,N /A,14,0.0,0,0,0,N /A,,,,
13,80,0,0,0,N /A,13,0.0,0,0,0,N /A,,,,
12,83,0,0,0,N /A,12,0.0,0,0,0,N /A,,,,
11,79,0,1,1,1 in 79.0,11,0.0,0,0,0,N/A,,,,
10,79,0,0,0,N/A,10,0.0,0,0,0,N /A,,,,
9,72,0,0,0,N/A,9,0.0,0,0,0,N /A,,,,
8,76,0,0,0,N/A,8,0.0,0,0,0,N/A,,,,
7,77,0,0,0,N/A,7,0.0,0,0,0,N/A,,,,
6,73,0,0,0,N/A,6,0.0,0,0,0,N/A,,,,
5,88,0,0,0,N/A,5,0.0,0,0,0,N/A,,,,
4,102,0,0,0,N/A,4,0.0,0,0,0,N/A,,,,
3,90,0,0,0,N/A,3,0.0,0,0,0,N/A,,,,
2,91,0,0,0,N/A,2,0.0,0,0,0,N/A,,,,
1,121,0,0,0,N/A,1,0.0,0,0,0,N/A,,,,
0,141,0,0,0,,N/A,,0,0,0,0,0.0,,N/A,
Totals,1801,0,1,1,in 1801.0,Totals,0.0,0,0,0,N/A,,,,
