0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
32,0,0,0,0,N/A,32,0.0,0,0,0,N/A,,,,
31,0,0,0,0,N /A,31,0.0,0,0,0,N /A,,,,
30,0,0,0,0,,N/A,,30,0,0,0,0.0,,N/A,
29,0,0,0,0,,N/A,,29,0,0,0,0.0,,N/A,
28,0,0,0,0,,N/A,,28,0,0,0,0.0,,N/A,
27,0,0,0,0,,N/A,,27,0,0,0,0.0,,N/A,
26,0,0,0,0,N /A,26,0.0,0,0,0,N /A,,,,
25,0,0,0,0,N /A,25,1.0,0,0,0,N /A,,,,
24,1,1,0,1,1 in 1.0,24,1.0,0,0,0,N/A,,,,
23,1,1,0,1,1 in 1.0,23,2.0,0,0,0,N/A,,,,
22,7,2,0,2,1 in 3.5,22,2.0,0,0,0,N/A,,,,
21,14,0,0,0,N /A,21,8.0,0,0,0,N /A,,,,
20,6,0,0,0,N /A,20,7.0,0,0,0,N /A,,,,
19,14,0,0,0,N /A,19,7.0,0,0,0,N /A,,,,
18,16,0,0,0,N /A,18,10.0,0,0,0,N/A,,,,
17,13,0,0,0,N /A,17,9.0,0,0,0,N /A,,,,
16,14,0,2,2,1 in 7.0,16,72.0,0,0,0,N/A,,,,
15,14,0,0,0,N /A,15,36.0,0,0,0,N/A,,,,
14,19,0,0,0,N /A,14,23.0,0,0,0,N/A,,,,
13,26,0,0,0,N /A,13,28.0,0,0,0,N/A,,,,
12,19,0,1,1,1 in 19.0,12,28.0,0,0,0,N/A,,,,
11,21,0,0,0,N/A,11,29.0,0,0,0,N/A,,,,
10,21,0,0,0,N/A,10,34.0,0,0,0,N /A,,,,
9,22,0,0,0,N/A,9,25.0,0,0,0,N /A,,,,
8,34,0,0,0,N/A,8,49.0,0,0,0,N/A,,,,
7,29,0,0,0,N/A,7,39.0,0,0,0,N/A,,,,
6,29,0,0,0,N/A,6,38.0,0,0,0,N/A,,,,
5,31,0,0,0,N/A,5,42.0,0,1,1,1 in 42.0,,,,
4,28,0,1,1,1 in 28.0,4,33.0,0,0,0,N/A,,,,
3,38,0,0,0,N/A,3,35.0,0,0,0,N/A,,,,
2,30,0,0,0,N/A,2,42.0,0,0,0,N/A,,,,
1,23,0,0,0,N/A,1,49.0,0,0,0,N/A,,,,
0,38,0,0,0,,N/A,,0,43,0,0,0.0,,N/A,
Totals,508,4,4,8,1 in 63.5,Totals,692.0,0,1,1,1 in 692.0,,,,
