0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
32,0,0,0,0,N/A,32,0.0,0,0,0,N/A,,,,
31,0,0,0,0,N /A,31,0.0,0,0,0,N /A,,,,
30,0,0,0,0,,N/A,,30,0,0,0,0.0,,N/A,
29,0,0,0,0,,N/A,,29,0,0,0,0.0,,N/A,
28,0,0,0,0,,N/A,,28,0,0,0,0.0,,N/A,
27,0,0,0,0,,N/A,,27,0,0,0,0.0,,N/A,
26,0,0,0,0,N /A,26,2.0,2,0,2,1 in 1 .0,,,,
25,0,0,0,0,N /A,25,6.0,0,0,0,N /A,,,,
24,0,0,0,0,N /A,24,5.0,0,0,0,N /A,,,,
23,0,0,0,0,N /A,23,7.0,0,0,0,N /A,,,,
22,2,2,0,2,1 in 1.0,22,5.0,0,0,0,N/A,,,,
21,4,4,0,4,1 in 1 .0,21,10.0,0,0,0,N /A,,,,
20,21,7,0,7,1 in 3.0,20,5.0,0,0,0,N/A,,,,
19,19,0,1,1,1 in 19.0,19,11.0,0,0,0,N/A,,,,
18,23,0,1,1,1 in 23.0,18,14.0,0,0,0,N/A,,,,
17,30,0,1,1,1 in 30.0,17,18.0,0,0,0,N/A,,,,
16,32,0,1,1,1 in 32.0,16,68.0,0,0,0,N/A,,,,
15,32,0,0,0,N /A,15,35.0,0,1,1,1 in 35.0,,,,
14,33,0,0,0,N /A,14,38.0,0,0,0,N/A,,,,
13,38,0,0,0,N /A,13,25.0,0,0,0,N/A,,,,
12,40,0,2,2,1 in 20.0,12,33.0,0,0,0,N/A,,,,
11,28,0,0,0,N/A,11,51.0,0,0,0,N/A,,,,
10,40,0,0,0,N/A,10,38.0,0,0,0,N /A,,,,
9,32,0,0,0,N/A,9,55.0,0,0,0,N /A,,,,
8,47,0,4,4,1 in 11.8,8,48.0,0,0,0,N/A,,,,
7,44,0,1,1,1 in 44.0,7,48.0,0,0,0,N/A,,,,
6,31,0,0,0,N/A,6,58.0,0,0,0,N/A,,,,
5,36,0,0,0,N/A,5,47.0,0,0,0,N/A,,,,
4,47,0,0,0,N/A,4,64.0,0,0,0,N/A,,,,
3,46,0,1,1,1 in 46.0,3,64.0,0,0,0,N/A,,,,
2,46,0,0,0,N/A,2,49.0,0,0,0,N/A,,,,
1,37,0,0,0,N/A,1,58.0,0,0,0,N/A,,,,
0,52,0,0,0,,N/A,,0,48,0,0,0.0,,N/A,
Totals,760,13,12,25,1 in 30.4,Totals,910.0,2,1,3,1 in 303.3,,,,
